鴇唐茶,ときがらちゃ,#E09E87,224,158,135,0
信楽茶,しがらきちゃ,#C18772,193,135,114,0
赤白橡,あかしろつるばみ,#D7A98C,215,169,140,0
桃花染・桃花褐,つきそめ,#E0A37E,224,163,126,0
白茶,しらちゃ,#DDBB99,221,187,153,0
淡香,うすこう,#F3BF88,243,191,136,0
枯色,かれいろ,#E0C38C,224,195,140,0
白橡,しろつるばみ,#CBB994,203,185,148,0
胡桃染,くるみぞめ,#A58F86,165,143,134,0
銀煤竹,ぎんすすたけ,#856859,133,104,89,0
煎茶色,せんちゃいろ・せんじちゃいろ,#8C6450,140,100,80,0
梅染,うめぞめ,#B48A76,180,138,118,0
江戸鼠,えどねず,#928178,146,129,120,0
生壁鼠,なまかべねず,#836A5C,131,106,92,0
伽羅煤竹,きゃらすすだけ,#8D6448,141,100,72,0
枯茶,からちゃ,#8D6449,141,100,73,0
柴染・柴色,ふしぞめ・ふしいろ,#B28C6E,178,140,110,0
松染,まつそめ,#A68868,166,136,104,0
小鹿色,こじかいろ,#7E6A4C,126,106,76,0
空五倍子色,うつぶしいろ,#9D896C,157,137,108,0
路考茶,ろこうちゃ,#8C7042,140,112,66,0
生壁色,なまかべいろ,#94846A,148,132,106,0
肥後煤竹,ひごすすだけ,#897858,137,120,88,0
丁子煤竹,ちょうじすすだけ,#807050,128,112,80,0
苦色,にがいろ,#93866C,147,134,108,0
灰汁色,あくいろ,#9E9478,158,148,120,0
茶褐色,ちゃかっしょく,#664032,102,64,50,0
焦茶,こげちゃ,#6F4B3E,111,75,62,0
黒梅,くろうめ,#643219,100,50,25,0
黒茶,くろちゃ,#583822,88,56,34,0
木枯茶・凩茶,こがらしちゃ,#735642,115,86,66,0
黄枯茶,きがらちゃ,#765C47,118,92,71,0
昔唐茶,むかしからちゃ,#61462E,97,70,46,0
猟虎茶,らっこちゃ,#685643,104,86,67,0
空五倍子色,うつふしいろ,#736250,115,98,80,0
樺茶色,かばちゃいろ,#726250,114,98,80,0
観世茶,かんぜちゃ,#685641,104,86,65,0
媚茶,こびちゃ,#716246,113,98,70,0
新斎茶,しんさいちゃ,#5C4F2C,92,79,44,0
赤銅色,しゃくどういろ,#752100,117,33,0,0
柿茶,かきちゃ,#954E2A,149,78,42,0
唐茶・枯茶,からちゃ,#783C1D,120,60,29,0
鉄錆色,てつさびいろ,#8E3809,142,56,9,0
黄渇色,おうかっしょく,#98502A,152,80,42,0
栗色,くりいろ,#762F07,118,47,7,0
杉染,すぎぞめ,#5F2C0D,95,44,13,0
落葉色,おちばいろ,#7D4B28,125,75,40,0
褐色,かっしょく,#8A3B00,138,59,0,0
煙草色,たばこいろ,#7E5737,126,87,55,0
沈香色,じんこういろ,#815731,129,87,49,0
枯葉色,かれはいろ,#956F29,149,111,41,0
金煤竹,きんすすたけ,#7C5B0C,124,91,12,0
渋茶,しぶちゃ,#715C23,113,92,35,0
小紫・濃紫,こむらさき,#4D1A06,77,26,6,0
炎色,ほのおいろ,#C44303,196,67,3,0
楊梅色・山桃色,やまももいろ,#B38000,179,128,0,0
赭,そお / そほ,#AB6953,171,105,83,0
檜皮色,ひわだいろ,#965036,150,80,54,0
団十郎茶,だんじゅうろうちゃ,#9F563A,159,86,58,0
紅柑子,べにこうじ,#AB4A24,171,74,36,0
柿色,かきいろ,#975E45,151,94,69,0
土器色,かわらけいろ,#C37854,195,120,84,0
砺茶・砥茶・礪茶,とのちゃ,#9F6F55,159,111,85,0
丁子茶,ちょうじちゃ,#B4866B,180,134,107,0
薄茶,うすちゃ,#B78161,183,129,97,0
渋紙色,しぶがみいろ,#946243,148,98,67,0
胡桃色,くるみいろ,#A86F4C,168,111,76,0
櫨色・黄櫨色,はじいろ,#B77B57,183,123,87,0
駱駝色,らくだいろ,#BF794E,191,121,78,0
灰茶,はいちゃ,#98623C,152,98,60,0
焦香,こがれこう,#AE7C58,174,124,88,0
江戸茶,えどちゃ,#CD8C5C,205,140,92,0
土色,つちいろ,#BC763C,188,118,60,0
